Guerrilla,0.495,37675,
Yasu,0.495,36596,
Flamin Roy,0.498,19344,
Tian,0.499,3455,Sheik
Cleps,0.499,45957,
Ryse,0.5,49281,
RockCrock,0.501,30162,Ganondorf
WiLD,0.502,48841,
Wife,0.502,8183,Peach
Logos,0.503,18652,
Vino,0.503,13956,
Tranimal,0.503,4069,Sheik
J666,0.504,4133,
Larfen,0.505,7394,
Jace,0.505,4506,
Sp1nda,0.507,37223,Fox
KoDoRiN,0.507,26750,
dunk,0.507,4662,Captain Falcon
Norby,0.508,172979,
Imyt,0.508,4161,
Ringler,0.51,53365,Donkey Kong
Roochi,0.512,10412,
Bigfish,0.512,153228,
Arsenals,0.514,37171,Fox
Coolkid,0.514,20079,
UltimaScout,0.514,40372,Marth
Cyan,0.514,7113,
Fout NL,0.515,158645,
Marko64,0.518,5666,
DarkGenex,0.518,26153,
Jeeemt,0.518,38671,
Alex19,0.518,1091,Fox
Higgins,0.52,16393,Peach
Mysto,0.521,228887,
Enkianz,0.521,129564,
Unsure,0.523,52030,
Violence,0.523,18711,
Scythe,0.524,7075,
Rabbit,0.524,5126,
King Overdose,0.524,5714,
BonkCushy,0.525,3475,
ZENT,0.525,10905,
Esquire,0.525,173563,
Tao,0.526,357405,
Blendtec,0.527,8009,
Golden,0.527,138710,
Switch,0.528,40118,
Frycook,0.528,5340,
L,0.528,3385,
Gato,0.528,14317,
Vincessant,0.529,12365,
Lego,0.531,4211,
Casper,0.532,144268,
Jamrun,0.532,5436,
Poseidon,0.532,158055,
Kevbot,0.533,12293,
The Captain,0.533,7669,
Pensive,0.534,15693,
ASL,0.538,3988,
Ludwig,0.538,10293,Jigglypuff
Toph,0.539,4127,Fox
Cup,0.539,4559,
Anvil,0.539,224511,
Rooster,0.54,18795,
